DateTime,Average,1550 Evans SECF A,1550 Evans SECF B
10/8/2024 0:00,31.2,35,32
10/9/2024 0:00,,10,9
10/10/2024 0:00,,33,30
10/11/2024 0:00,,20,19
10/12/2024 0:00,,13,13
10/13/2024 0:00,,25,24
10/14/2024 0:00,,10,10
10/15/2024 0:00,,19,18
10/16/2024 0:00,,13,12
10/17/2024 0:00,,16,15
10/18/2024 0:00,,11,11
10/19/2024 0:00,,28,28
10/20/2024 0:00,,42,43
10/21/2024 0:00,,24,24
10/22/2024 0:00,,23,22
10/23/2024 0:00,,53,53
10/24/2024 0:00,,36,36
10/25/2024 0:00,,43,43
10/26/2024 0:00,,39,40
10/27/2024 0:00,,9,10
10/28/2024 0:00,,12,12
10/29/2024 0:00,,23,23
10/30/2024 0:00,,9,9
10/31/2024 0:00,,15,15
11/1/2024 0:00,,28,27
11/2/2024 0:00,,14,13
11/3/2024 0:00,,29,29
11/4/2024 0:00,,28,26
11/5/2024 0:00,,33,31
11/6/2024 0:00,,7,6
11/7/2024 0:00,,14,14
11/8/2024 0:00,,51,52
11/9/2024 0:00,,71,73
11/10/2024 0:00,,67,68
11/11/2024 0:00,,13,13
11/12/2024 0:00,,35,34
11/13/2024 0:00,,30,30
11/14/2024 0:00,,25,24
11/15/2024 0:00,,17,16
11/16/2024 0:00,,25,26
11/17/2024 0:00,,32,33
11/18/2024 0:00,,13,13
11/19/2024 0:00,,25,26
11/20/2024 0:00,,7,6
11/21/2024 0:00,,4,3
11/22/2024 0:00,,8,7
11/23/2024 0:00,,9,9
11/24/2024 0:00,,14,15
11/25/2024 0:00,,18,18
11/26/2024 0:00,,11,10
11/27/2024 0:00,,24,24
11/28/2024 0:00,,31,32
11/29/2024 0:00,,44,45
11/30/2024 0:00,,74,75
12/1/2024 0:00,,62,63
12/2/2024 0:00,,54,55
12/3/2024 0:00,,66,67
12/4/2024 0:00,,94,95
12/5/2024 0:00,,74,75
12/6/2024 0:00,,80,81
12/7/2024 0:00,,154,156
12/8/2024 0:00,,147,152
12/9/2024 0:00,,56,57
12/10/2024 0:00,,99,102
12/11/2024 0:00,,126,130
12/12/2024 0:00,,43,41
12/13/2024 0:00,,17,17
12/14/2024 0:00,,21,20
12/15/2024 0:00,,65,65
12/16/2024 0:00,,65,65
12/17/2024 0:00,,84,84
12/18/2024 0:00,,71,71
12/19/2024 0:00,,117,118
12/20/2024 0:00,,130,133
12/21/2024 0:00,,67,67
12/22/2024 0:00,,66,66
12/23/2024 0:00,,62,62
12/24/2024 0:00,,12,11
12/25/2024 0:00,,33,33
12/26/2024 0:00,,13,13
12/27/2024 0:00,,41,37
12/28/2024 0:00,,21,20
12/29/2024 0:00,,8,8
12/30/2024 0:00,,22,22
12/31/2024 0:00,,28,28
1/1/2025 0:00,,81,81
1/2/2025 0:00,,54,55
1/3/2025 0:00,,55,56
1/4/2025 0:00,,47,47
1/5/2025 0:00,,53,53
1/6/2025 0:00,,64,64
1/7/2025 0:00,,16,17
1/8/2025 0:00,,27,28
1/9/2025 0:00,,55,56
1/10/2025 0:00,,44,45
1/11/2025 0:00,,20,20
1/12/2025 0:00,,10,10
1/13/2025 0:00,,16,15
1/14/2025 0:00,,33,33
1/15/2025 0:00,,85,86
1/16/2025 0:00,,94,96
1/17/2025 0:00,,81,83
1/18/2025 0:00,,73,75
1/19/2025 0:00,,62,63
1/20/2025 0:00,,55,56
1/21/2025 0:00,,49,51
1/22/2025 0:00,,73,74
1/23/2025 0:00,,63,64
1/24/2025 0:00,,94,96
