DateTime,Average,1550 Evans SECF A,1550 Evans SECF B,McKinnon at Phelps Backyard 10 Ft Above Grade A,McKinnon at Phelps Backyard 10 Ft Above Grade B,Newcomb at Phelps A,Newcomb at Phelps B
7/8/2024 0:00,32.9,26,24,23,25,27,27
7/9/2024 0:00,,26,24,21,24,25,26
7/10/2024 0:00,,40,38,33,37,33,35
7/11/2024 0:00,,61,58,52,57,60,60
7/12/2024 0:00,,62,58,51,56,60,60
7/13/2024 0:00,,34,32,29,33,34,35
7/14/2024 0:00,,24,23,24,26,26,28
7/15/2024 0:00,,23,22,20,22,22,23
7/16/2024 0:00,,14,13,13,15,15,16
7/17/2024 0:00,,8,8,6,7,8,8
7/18/2024 0:00,,13,11,9,11,11,11
7/19/2024 0:00,,18,15,13,17,21,22
7/20/2024 0:00,,29,25,22,28,34,33
7/21/2024 0:00,,27,23,21,27,30,30
7/22/2024 0:00,,49,46,41,48,50,50
7/23/2024 0:00,,38,36,33,37,37,40
7/24/2024 0:00,,54,50,41,49,53,53
7/25/2024 0:00,,52,48,40,48,52,52
7/26/2024 0:00,,49,44,42,50,47,48
7/27/2024 0:00,,25,23,23,26,25,26
7/28/2024 0:00,,23,22,20,23,24,25
7/29/2024 0:00,,6,5,5,5,6,6
7/30/2024 0:00,,7,6,6,7,8,8
7/31/2024 0:00,,10,9,11,13,8,9
8/1/2024 0:00,,5,5,5,5,6,6
8/2/2024 0:00,,8,7,6,7,7,8
8/3/2024 0:00,,15,13,13,15,15,16
8/4/2024 0:00,,30,27,28,32,29,31
8/5/2024 0:00,,47,44,36,42,39,41
8/6/2024 0:00,,57,55,50,55,,
8/7/2024 0:00,,72,68,59,65,,
8/8/2024 0:00,,30,28,24,27,,
8/9/2024 0:00,,48,45,39,44,,
8/10/2024 0:00,,58,57,54,58,,
8/11/2024 0:00,,23,23,26,29,,
8/12/2024 0:00,,36,33,25,30,,
8/13/2024 0:00,,45,43,34,40,,
8/14/2024 0:00,,10,9,7,8,,
8/15/2024 0:00,,20,18,17,20,,
8/16/2024 0:00,,27,25,20,24,,
8/17/2024 0:00,,4,4,5,5,,
8/18/2024 0:00,,9,8,13,14,,
8/19/2024 0:00,,23,21,21,23,,
8/20/2024 0:00,,23,22,20,23,,
8/21/2024 0:00,,36,33,29,33,,
8/22/2024 0:00,,19,17,15,18,,
8/23/2024 0:00,,29,28,25,28,,
8/24/2024 0:00,,30,30,32,35,,
8/25/2024 0:00,,52,52,48,52,,
8/26/2024 0:00,,45,44,39,43,,
8/27/2024 0:00,,45,44,40,43,,
8/28/2024 0:00,,44,41,34,38,,
8/29/2024 0:00,,51,48,38,44,49,49
8/30/2024 0:00,,46,43,45,50,45,45
8/31/2024 0:00,,38,36,33,38,38,39
9/1/2024 0:00,,28,27,31,34,29,30
9/2/2024 0:00,,23,21,22,24,29,30
9/3/2024 0:00,,40,38,40,44,37,39
9/4/2024 0:00,,23,22,20,21,20,21
9/5/2024 0:00,,19,19,15,16,15,16
9/6/2024 0:00,,15,14,15,15,30,33
9/7/2024 0:00,,20,20,22,23,24,25
9/8/2024 0:00,,34,34,29,30,32,33
9/9/2024 0:00,,54,54,49,52,53,55
9/10/2024 0:00,,29,28,25,28,28,28
9/11/2024 0:00,,25,23,19,23,25,26
9/12/2024 0:00,,23,21,19,22,23,23
9/13/2024 0:00,,47,44,39,47,47,48
9/14/2024 0:00,,30,29,30,33,30,32
9/15/2024 0:00,,28,25,23,27,28,28
9/16/2024 0:00,,36,32,28,34,34,35
9/17/2024 0:00,,28,27,24,28,27,28
